,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,max_value,max_action
1,1.9523636,1.9785022,2.0738337,1.9390676,1.8596654,1.8834319,1.9328967,1.8698435,2.0245738,0.37954998,0.37490743,0.3769208,0.37560776,0.3660642,0.36327547,0.3731205,0.37362078,0.37658444,2.8209193,2.9641128,2.522303,2.7292252,2.4443436,2.7890253,2.5709195,2.515772,2.5627627,0.11761886,0.12331911,0.11953043,0.11852889,0.11259257,0.12307835,0.12486253,0.11476397,0.12837733,5.27045174,5.44084154,5.09258793,5.16242945,4.78266577,5.15881102,5.00179923,4.87400025,5.09229827,5.44084154,2
2,1.5780548,1.5545723,1.5802994,1.6177981,1.6405537,1.5952922,1.5955408,1.50397,1.5887997,0.34359983,0.3540694,0.35633492,0.34847578,0.36422688,0.35928228,0.3533906,0.34905612,0.33045727,3.108025,3.1453285,3.2999294,3.211102,2.9317806,3.7189362,3.1526022,3.26151,2.8536484,0.10207681,0.097512074,0.09761389,0.10067978,0.097197495,0.09888035,0.099797286,0.09441402,0.105546474,5.13175644,5.151482274,5.33417761,5.27805566,5.033758675,5.77239103,5.201330886,5.20895014,4.878451844,5.77239103,6
3,1.7258202,1.6140908,1.7538455,1.7323364,1.5963185,1.7993776,1.6553807,1.6934171,1.7383885,0.3127982,0.2983781,0.33391884,0.31615594,0.31882697,0.33056763,0.31774083,0.32124126,0.3151658,1.0557173,1.0314438,1.0701827,1.0656675,1.0579444,1.1603794,1.0734096,1.0824057,1.0484595,0.14011946,0.1368766,0.13705336,0.1382974,0.13816065,0.13723698,0.1381719,0.13745505,0.13847372,3.23445516,3.0807893,3.2950004,3.25245724,3.11125052,3.42756161,3.18470303,3.23451911,3.24048752,3.42756161,6
4,1.9072264,1.7970036,1.856448,1.9272377,1.8402215,1.8697233,1.7914914,1.9053596,1.9006947,0.30352226,0.31944734,0.32355762,0.3164245,0.33330894,0.332286,0.32508022,0.32762745,0.3149004,4.564735,4.3293905,4.680679,4.5045443,3.9645836,5.0145326,3.9087696,4.458406,3.9535382,0.11851361,0.11957361,0.118473195,0.10921855,0.10645673,0.12192295,0.12086015,0.103082396,0.1265815,6.89399727,6.56541505,6.979157815,6.85742505,6.24457077,7.33846485,6.14620137,6.794475446,6.2957148,7.33846485,6
5,1.7031511,1.6236612,1.7704883,1.7019242,1.6198511,1.8042297,1.6785748,1.7216649,1.7031878,0.3540314,0.3553421,0.35701525,0.35372466,0.3558027,0.35607743,0.3572664,0.3569406,0.35551593,1.4945265,1.4156333,1.5288677,1.5005107,1.4224244,1.5716621,1.4587384,1.4362465,1.3999475,0.13116278,0.13181606,0.13170007,0.12993804,0.12818909,0.1342444,0.13346288,0.12823302,0.1318551,3.68287178,3.52645266,3.78807132,3.6860976,3.52626729,3.86621363,3.62804248,3.64308502,3.59050633,3.86621363,6
