,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,max_value,max_action,action
1,0.026615536,0.027205106,0.026229076,0.026603402,0.026461087,0.026611891,0.026995245,0.026239043,0.026739953,0.94805222,0.888973822,0.940997431,0.953060032,0.947417905,0.944212313,0.952642509,0.944556313,0.944675406,0.019826269,0.019514174,0.020244635,0.020336566,0.020060127,0.020176507,0.020393697,0.020212108,0.019937921,-0.000805398,-0.000854619,-0.000792764,0,-0.000803982,-0.000790531,-0.00081392,-0.000803004,-0.000952677,0.993688628,0.934838484,0.986678378,1,0.993135137,0.990210179,0.999217531,0.99020446,0.990400603,1,4,down
2,0.104886721,0.121927146,0.097613923,0.10661315,0.102487367,0.105383482,0.114488067,0.103440831,0.119252472,0.404242604,0.29688993,0.419320807,0.475851235,0.434600637,0.420512001,0.411520783,0.299303156,0.331752346,0.407058576,0.400650865,0.415648164,0.417535615,0.411859972,0.41424941,0.418708599,0.414980337,0.409350929,-0.016535837,-0.017546418,-0.016276459,0,-0.016506775,-0.016230617,-0.016710821,-0.016486704,-0.019559676,0.899652064,0.801921523,0.916306436,1,0.9324412,0.923914275,0.928006628,0.801237621,0.840796071,1,4,left
3,0.112384519,0.118882844,0.11033812,0.11410806,0.111768339,0.11337622,0.116402132,0.111144468,0.117318653,0.405794645,0.356593268,0.445332116,0.483675115,0.446527222,0.442316729,0.431735818,0.375378313,0.394137974,0.392124174,0.385951552,0.400398621,0.402216825,0.396749413,0.399051185,0.403346773,0.399755296,0.394332423,-0.015929161,-0.016902665,-0.015679299,0,-0.015901165,-0.015635139,-0.016097725,-0.01588183,-0.01884206,0.894374176,0.844524999,0.940389558,1,0.939143809,0.939108996,0.935386998,0.870396247,0.88694699,1,4,left
4,0.159695541,0.164920898,0.157803978,0.159464729,0.157975097,0.159847525,0.162875989,0.157486889,0.164052001,0.412628414,0.193363389,0.426353336,0.463537852,0.426459338,0.401091969,0.344977325,0.261474779,0.25353546,0.367537588,0.361751996,0.375293219,0.376997419,0.37187282,0.374030269,0.378056519,0.374690231,0.369607378,-0.014930386,-0.01584285,-0.014696191,0,-0.014904146,-0.0146548,-0.015088381,-0.014886023,-0.017660643,0.924931157,0.704193433,0.944754343,1,0.941403109,0.920314963,0.870821452,0.778765877,0.769534196,1,4,left
5,0.012989927,0.013103924,0.012902136,0.012971409,0.012893777,0.012932575,0.012960066,0.012767869,0.012902174,0.922563078,0.925464374,0.934612684,0.910704969,0.872309426,0.928602043,0.904478317,0.885304257,0.884430774,0.052679358,0.050594156,0.05248518,0.050422563,0.051232574,0.051406663,0.050010461,0.05109038,0.050462613,-0.000741644,-0.00078697,0,-0.00069882,-0.000740341,-0.000727955,-0.000749493,-0.000739441,-0.000877266,0.987490719,0.988375484,1,0.973400121,0.935695436,0.992213325,0.966699351,0.948423066,0.946918296,1,3,right
