,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,max_value,max_action,
1,0.129298786,0.135043518,0.12756074,0.130207056,0.128301943,0.130100342,0.133086342,0.127796737,0.134200803,0.38639168,0.344460832,0.419834455,0.466225362,0.418208802,0.424900486,0.412060948,0.343904011,0.381499694,0.393441037,0.387247686,0.401743273,0.403567582,0.39808181,0.400391312,0.404701325,0.401097787,0.395656702,-0.015982656,-0.016959429,-0.015731954,0,-0.015954566,-0.015687646,-0.016151785,-0.015935166,-0.018905337,0.893148848,0.849792608,0.933406514,1,0.928637989,0.939704493,0.93369683,0.85686337,0.892451863,1,4,left
2,0.068683643,0.067108519,0.074121919,0.075414904,0.072877967,0.074628704,0.072166265,0.070555813,0.069787568,0.123131734,-0.242798041,-0.572766413,-0.14784677,-0.365411554,-0.295500202,-0.405759522,-0.483661465,-0.080905855,0.842405445,0.829144722,0.860181548,0.864087618,0.852341907,0.857286834,0.866515101,0.858799484,0.847149455,-0.034220823,0,-0.03368404,-0.032244841,-0.034160679,-0.033589171,-0.034582951,-0.034119141,-0.040478641,1,0.653455201,0.327853014,0.759410911,0.525647641,0.602826164,0.498338893,0.41157469,0.795552528,1,1,right
3,0.147567538,0.15028746,0.146609423,0.149701836,0.147897902,0.148476892,0.149169027,0.145791552,0.150119456,0.395872483,0.336303046,0.439416658,0.469877718,0.432007835,0.430491506,0.407181345,0.369574332,0.380815328,0.370874722,0.365036599,0.378700772,0.380420446,0.375249317,0.377426355,0.381489162,0.378092309,0.372963305,-0.01506595,-0.015986699,-0.014829628,0,-0.015039471,-0.014787861,-0.015225379,-0.015021184,-0.017820997,0.899248793,0.835640407,0.949897226,1,0.940115582,0.941606891,0.922614155,0.878437009,0.886077092,1,4,left
4,0.116896059,0.117517182,0.118396497,0.120497798,0.118603421,0.119488426,0.118771763,0.11640834,0.118360784,0.34408181,0.047039605,0.25282545,0.349963703,0.284699276,0.313228645,0.231977433,0.057009547,0.048366824,0.516251021,0.508124457,0.527144744,0.529538499,0.522340379,0.525370777,0.531026132,0.526297774,0.519158291,-0.020971534,-0.022253201,-0.020642578,0,-0.020934676,-0.02058444,-0.021193457,-0.020909221,-0.024806511,0.956257355,0.650428043,0.877724113,1,0.9047084,0.937503409,0.860581872,0.67880644,0.661079389,1,4,left
5,0.125791356,0.128784703,0.125640371,0.126959974,0.125324913,0.126821473,0.128000846,0.124425587,0.127222444,0.381903086,0.317217358,0.404498825,0.45504384,0.402444512,0.415785066,0.391664696,0.318994516,0.352514971,0.40750759,0.401092811,0.416106653,0.417996186,0.412314282,0.414706355,0.419170463,0.415438089,0.409802471,-0.016554078,-0.017565773,-0.016294413,0,-0.016524983,-0.016248521,-0.016729254,-0.01650489,-0.019581252,0.898647955,0.829529099,0.929951435,1,0.923558724,0.941064374,0.922106751,0.842353302,0.869958634,1,4,left
