,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,max_value,max_Action
1,1.7995812,1.755866,1.7243023,1.7647353,1.7558324,1.7750021,1.7884549,1.7136681,1.7768728,0.35330343,0.35231405,0.3551396,0.35238394,0.3540154,0.35436484,0.35515332,0.35552397,0.35404453,1.0724232,1.0868137,1.0415089,1.0860935,1.0944078,1.1103354,1.0717793,1.0609014,1.0692286,0.15003745,0.14588483,0.14580065,0.1471717,0.14724882,0.14701019,0.14930138,0.14574713,0.14949077,3.37534528,3.34087858,3.26675145,3.35038444,3.35150442,3.38671253,3.3646889,3.2758406,3.3496367,3.38671253,6
2,1.9971545,1.9820246,1.9277153,2.0554008,1.9450595,1.9705987,1.9923902,1.9640335,2.0504825,0.5957158,0.601252,0.58943427,0.591717,0.6004944,0.5895637,0.597213,0.5797086,0.5995563,0.9454636,0.9390812,0.92032003,0.9491531,0.90068984,0.9011063,0.91380525,0.9227952,0.9415939,0.14865863,0.14772253,0.14558183,0.14581493,0.14449394,0.14793244,0.14991659,0.1437161,0.14924555,3.68699253,3.67008033,3.58305143,3.74208583,3.59073768,3.60920114,3.65332504,3.6102534,3.74087825,3.74208583,4
3,1.6849055,1.754665,1.7957628,1.7851177,1.7249012,1.7500838,1.7693349,1.7810497,1.6962818,0.3805552,0.38703936,0.3888352,0.3849641,0.39483172,0.3953548,0.3927855,0.39168343,0.38843006,0.9971188,1.0016639,1.030232,1.0304797,1.0446244,1.0895482,1.0436946,1.0519017,1.0244263,0.15775928,0.1580944,0.16064486,0.1569581,0.15906504,0.16398874,0.16187549,0.15975752,0.15307464,3.22033878,3.30146266,3.37547486,3.3575196,3.32342236,3.39897554,3.36769049,3.38439235,3.2622128,3.39897554,6
4,1.6936035,1.6637636,1.7222183,1.6782168,1.6355144,1.6350539,1.6787252,1.6728975,1.685939,0.38033843,0.37872666,0.3788797,0.37649873,0.3786149,0.38089925,0.38156646,0.3790112,0.38101494,1.1304147,1.1292185,1.139344,1.135231,1.0840391,1.1342185,1.1341171,1.1360172,1.1053483,0.16168098,0.15626372,0.15515317,0.15826766,0.15930495,0.15339886,0.15707764,0.15851542,0.15910707,3.36603761,3.32797248,3.39559517,3.34821419,3.25747335,3.30357051,3.3514864,3.34644132,3.33140931,3.39559517,3
5,1.7499262,1.7074109,1.7568147,1.8154501,1.7894382,1.7955327,1.8166882,1.7786957,1.8130515,0.5051847,0.51039994,0.50741,0.5078868,0.5126126,0.501295,0.50808436,0.50215507,0.5091793,0.6462949,0.61710775,0.6443009,0.65639746,0.6631287,0.63056195,0.6370037,0.63275087,0.65772223,0.111260556,0.10726099,0.10782564,0.11043319,0.1084701,0.107361,0.10744023,0.107093215,0.111417,3.012666356,2.94217958,3.01635124,3.09016755,3.0736496,3.03475065,3.06921649,3.020694855,3.09137003,3.09137003,9
