,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,max_value,max_action
1,0.06973772,0.07201959,0.06891169,0.069636926,0.068986416,0.06980409,0.071126595,0.06877322,0.07164015,0.18019141,0.08444019,0.18618497,0.20242314,0.18623126,0.17515354,0.15064874,0.11418387,0.110716835,0.16050062,0.1579741,0.16388744,0.16463165,0.16239378,0.16333592,0.16509415,0.16362412,0.16140448,-0.006519976,-0.006918442,-0.006417705,-0.006143499,-0.006508517,-0.00639963,-0.006588971,-0.006500603,-0.007712257,0.403909774,0.307515439,0.412566395,0.430548217,0.411102939,0.40189392,0.380280514,0.340080607,0.336049208,0.430548217,4
2,0.11419759,0.11519976,0.1134258,0.114034794,0.11335231,0.11369339,0.11393507,0.112245426,0.113426134,8.110475,8.135981,8.216406,8.0062275,7.668683,8.163565,7.9514875,7.7829237,7.7752447,0.46311697,0.44478545,0.4614099,0.44327694,0.45039794,0.4519284,0.43965405,0.44914788,0.44362903,-0.006519976,-0.006918442,-0.006417705,-0.006143499,-0.006508517,-0.00639963,-0.006588971,-0.006500603,-0.007712257,8.681269584,8.689047769,8.784823995,8.557395735,8.225924733,8.72278716,8.498487649,8.337816403,8.324587607,8.784823995,3
3,0.20270862,0.20701216,0.19989917,0.2023762,0.20137025,0.20216052,0.2044265,0.1994952,0.20331891,7.816332,7.37992,7.9391,7.833818,7.9180536,7.9374456,7.8354197,7.9375463,7.7536373,0.16050062,0.1579741,0.16388744,0.16463165,0.16239378,0.16333592,0.16509415,0.16362412,0.16140448,-0.006519976,-0.006918442,-0.006417705,-0.006143499,-0.006508517,-0.00639963,-0.006588971,-0.006500603,-0.007712257,8.173021264,7.737987819,8.296468905,8.194682351,8.275309113,8.29654241,8.198351379,8.294165017,8.110648433,8.29654241,6
4,0.18756546,0.19429736,0.18669431,0.1871252,0.18779714,0.18852425,0.1903152,0.18520074,0.1896502,6.394867,6.3144374,6.5791407,6.5199857,6.412216,6.5298867,6.4452524,6.524322,6.451875,0.16050062,0.1579741,0.16388744,0.16463165,0.16239378,0.16333592,0.16509415,0.16362412,0.16140448,-0.006519976,-0.006918442,-0.006417705,-0.006143499,-0.006508517,-0.00639963,-0.006588971,-0.006500603,-0.007712257,6.736413104,6.659790419,6.923304745,6.865599051,6.755898403,6.87534724,6.794072779,6.866646257,6.795217423,6.923304745,3
5,0.16305198,0.16974783,0.1622602,0.1630279,0.16355416,0.16452056,0.16671495,0.16135564,0.16595615,5.517255,5.2921863,5.570144,5.485455,5.3890853,5.396628,5.2099824,5.553903,5.1835227,0.25505966,0.24759454,0.2568548,0.25170043,0.25238693,0.25351292,0.25088638,0.25284222,0.24959168,-0.006519976,-0.006918442,-0.006417705,-0.006143499,-0.006508517,-0.00639963,-0.006588971,-0.006500603,-0.007712257,5.928846664,5.702610229,5.982841295,5.894039831,5.798517873,5.80826185,5.620994759,5.961600257,5.591358273,5.982841295,3
