,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,,
1,0.665806173,0.672791429,0.674290825,0.664979332,0.667635417,0.674626264,0.67104826,0.674208776,0.669695826,0.229539266,0.232672916,0.230707361,0.229287945,0.235031024,0.23360529,0.234363501,0.235519631,0.230193426,0.08908257,0.091813246,0.088604407,0.089282676,0.090461561,0.08930024,0.091046822,0.089973997,0.092271731,0.000262445,0.000399235,0.00032017,0.000358124,0.000334075,0.00034154,0.000413281,0.000297597,0.000343115,0.984690453,0.997676826,0.993922763,0.983908076,0.993462078,0.997873334,0.996871864,1,0.992504098,8,up
2,0.778948593,0.78033654,0.785307439,0.770135088,0.778578316,0.781006977,0.776127859,0.777712302,0.77291131,0.152096061,0.152335641,0.152718556,0.152108288,0.152493599,0.150732435,0.152441984,0.152620958,0.150963044,0.061708929,0.062180677,0.061598056,0.061524467,0.062198236,0.061877234,0.062028562,0.062068734,0.062074377,0.000308167,0.000468789,0.000375949,0.000420515,0.000392278,0.000401043,0.000485283,0.000349443,0.000402892,0.99306175,0.995321647,1,0.984188359,0.993662429,0.994017689,0.991083688,0.992751437,0.986351623,3,right
3,0.699709438,0.696568767,0.691830585,0.668192934,0.700594269,0.685130473,0.669771598,0.698346123,0.67270779,0.255692003,0.25452913,0.255323463,0.25231269,0.253512764,0.253769902,0.241674827,0.257017027,0.254424625,0.044154028,0.043983972,0.0440839,0.044052134,0.04432041,0.044185776,0.044035893,0.044261159,0.043879138,0.000331315,0.000504002,0.000404188,0.000452102,0.000421743,0.000431167,0.000521734,0.000375691,0.000433154,0.999886784,0.99558587,0.991642137,0.96500986,0.998849186,0.983517317,0.956004052,1,0.971444707,8,right
4,0.78347238,0.763111194,0.747769999,0.815194162,0.807280185,0.76165173,0.785974535,0.751620436,0.84223128,0.112599123,0.114403912,0.113516788,0.11397931,0.113588688,0.112691996,0.110860092,0.111904806,0.114338303,0.038886925,0.0378973,0.037155445,0.042373243,0.038314134,0.036468734,0.03882274,0.037323251,0.040730911,0.002064822,0.003141041,0.002518983,0.00281759,0.002628387,0.002687118,0.003251552,0.002341385,0.002699506,0.93702325,0.918553447,0.900961215,0.974364305,0.961811394,0.913499578,0.938908919,0.903189878,1,9,left
5,0.824725281,0.817868994,0.828254516,0.854030703,0.822718563,0.833796978,0.860509087,0.827197481,0.865414997,0.069978304,0.070211596,0.07010404,0.070233581,0.070236067,0.06963125,0.069272556,0.069671996,0.069645629,0.064464471,0.064169693,0.064269651,0.064513697,0.064667567,0.064375391,0.064294202,0.064529087,0.064178637,0.000581879,0.000885164,0.000709864,0.000794013,0.000740695,0.000757246,0.000916306,0.000659816,0.000760737,0.959749935,0.953135447,0.963338071,0.989571995,0.958362891,0.968560864,0.994992151,0.962058381,1,9,left
